S_ID	S_Age	S_Extrav	S_Lang1	S_Linguist	S_Gender	Q_ID	Setting	Familiarity	H_Age	Form
7	28	5	est	No	F	11	informal	Some	Older	V
7	28	5	est	No	F	12	informal	Some	Same	V
7	28	5	est	No	F	13	informal	Some	Younger	T
7	28	5	est	No	F	14	formal	Some	Older	V
7	28	5	est	No	F	15	formal	Some	Same	T
7	28	5	est	No	F	16	formal	Some	Younger	T
7	28	5	est	No	F	17	informal	Good	Older	T
7	28	5	est	No	F	18	informal	Good	Same	T
7	28	5	est	No	F	19	informal	Good	Younger	T
7	28	5	est	No	F	20	formal	Good	Older	T
7	28	5	est	No	F	21	formal	Good	Same	T
7	28	5	est	No	F	22	formal	Good	Younger	T
8	33	9.6	est	Yes	F	5	informal	No	Older	V
8	33	9.6	est	Yes	F	6	informal	No	Same	V
8	33	9.6	est	Yes	F	7	informal	No	Younger	V
8	33	9.6	est	Yes	F	8	formal	No	Older	V
8	33	9.6	est	Yes	F	9	formal	No	Same	V
8	33	9.6	est	Yes	F	10	formal	No	Younger	V
8	33	9.6	est	Yes	F	11	informal	Some	Older	T
8	33	9.6	est	Yes	F	12	informal	Some	Same	T
8	33	9.6	est	Yes	F	13	informal	Some	Younger	T
8	33	9.6	est	Yes	F	14	formal	Some	Older	T
8	33	9.6	est	Yes	F	15	formal	Some	Same	T
8	33	9.6	est	Yes	F	16	formal	Some	Younger	T
8	33	9.6	est	Yes	F	17	informal	Good	Older	T
8	33	9.6	est	Yes	F	18	informal	Good	Same	T
8	33	9.6	est	Yes	F	19	informal	Good	Younger	T
8	33	9.6	est	Yes	F	20	formal	Good	Older	T
8	33	9.6	est	Yes	F	21	formal	Good	Same	T
8	33	9.6	est	Yes	F	22	formal	Good	Younger	T
9	29	8	rus	No	M	5	informal	No	Older	V
9	29	8	rus	No	M	6	informal	No	Same	V
9	29	8	rus	No	M	7	informal	No	Younger	V
9	29	8	rus	No	M	8	formal	No	Older	V
9	29	8	rus	No	M	9	formal	No	Same	V
9	29	8	rus	No	M	10	formal	No	Younger	V
9	29	8	rus	No	M	11	informal	Some	Older	V
9	29	8	rus	No	M	12	informal	Some	Same	V
9	29	8	rus	No	M	13	informal	Some	Younger	V
9	29	8	rus	No	M	14	formal	Some	Older	V
9	29	8	rus	No	M	15	formal	Some	Same	T
9	29	8	rus	No	M	16	formal	Some	Younger	T
9	29	8	rus	No	M	17	informal	Good	Older	V
9	29	8	rus	No	M	18	informal	Good	Same	T
9	29	8	rus	No	M	19	informal	Good	Younger	T
9	29	8	rus	No	M	20	formal	Good	Older	V
9	29	8	rus	No	M	21	formal	Good	Same	T
9	29	8	rus	No	M	22	formal	Good	Younger	T
10	27	7.4	est	Yes	F	5	informal	No	Older	V
10	27	7.4	est	Yes	F	6	informal	No	Same	V
10	27	7.4	est	Yes	F	7	informal	No	Younger	V
10	27	7.4	est	Yes	F	8	formal	No	Older	V
10	27	7.4	est	Yes	F	9	formal	No	Same	V
10	27	7.4	est	Yes	F	10	formal	No	Younger	V
10	27	7.4	est	Yes	F	11	informal	Some	Older	V
10	27	7.4	est	Yes	F	12	informal	Some	Same	V
10	27	7.4	est	Yes	F	13	informal	Some	Younger	V
10	27	7.4	est	Yes	F	14	formal	Some	Older	V
10	27	7.4	est	Yes	F	15	formal	Some	Same	T
10	27	7.4	est	Yes	F	16	formal	Some	Younger	T
10	27	7.4	est	Yes	F	17	informal	Good	Older	T
10	27	7.4	est	Yes	F	18	informal	Good	Same	T
10	27	7.4	est	Yes	F	19	informal	Good	Younger	T
10	27	7.4	est	Yes	F	20	formal	Good	Older	T
10	27	7.4	est	Yes	F	21	formal	Good	Same	T
10	27	7.4	est	Yes	F	22	formal	Good	Younger	T
11	26	8.8	est	Yes	F	5	informal	No	Older	V
11	26	8.8	est	Yes	F	6	informal	No	Same	V
11	26	8.8	est	Yes	F	7	informal	No	Younger	V
11	26	8.8	est	Yes	F	8	formal	No	Older	V
11	26	8.8	est	Yes	F	9	formal	No	Same	V
11	26	8.8	est	Yes	F	10	formal	No	Younger	V
11	26	8.8	est	Yes	F	11	informal	Some	Older	V
11	26	8.8	est	Yes	F	12	informal	Some	Same	T
11	26	8.8	est	Yes	F	13	informal	Some	Younger	T
11	26	8.8	est	Yes	F	14	formal	Some	Older	T
11	26	8.8	est	Yes	F	15	formal	Some	Same	T
11	26	8.8	est	Yes	F	16	formal	Some	Younger	T
11	26	8.8	est	Yes	F	17	informal	Good	Older	T
11	26	8.8	est	Yes	F	18	informal	Good	Same	T
11	26	8.8	est	Yes	F	19	informal	Good	Younger	T
11	26	8.8	est	Yes	F	20	formal	Good	Older	T
11	26	8.8	est	Yes	F	21	formal	Good	Same	T
11	26	8.8	est	Yes	F	22	formal	Good	Younger	T
12	28	3	ger	No	M	5	informal	No	Older	V
12	28	3	ger	No	M	6	informal	No	Same	V
12	28	3	ger	No	M	7	informal	No	Younger	V
12	28	3	ger	No	M	8	formal	No	Older	V
12	28	3	ger	No	M	9	formal	No	Same	V
12	28	3	ger	No	M	10	formal	No	Younger	V
12	28	3	ger	No	M	11	informal	Some	Older	V
12	28	3	ger	No	M	12	informal	Some	Same	T
12	28	3	ger	No	M	13	informal	Some	Younger	T
12	28	3	ger	No	M	14	formal	Some	Older	V
12	28	3	ger	No	M	15	formal	Some	Same	T
12	28	3	ger	No	M	16	formal	Some	Younger	T
12	28	3	ger	No	M	17	informal	Good	Older	T
12	28	3	ger	No	M	18	informal	Good	Same	T
12	28	3	ger	No	M	19	informal	Good	Younger	T
12	28	3	ger	No	M	20	formal	Good	Older	T
12	28	3	ger	No	M	21	formal	Good	Same	T
12	28	3	ger	No	M	22	formal	Good	Younger	T
13	29	9.4	est	Yes	F	5	informal	No	Older	V
13	29	9.4	est	Yes	F	6	informal	No	Same	V
13	29	9.4	est	Yes	F	7	informal	No	Younger	V
13	29	9.4	est	Yes	F	8	formal	No	Older	V
13	29	9.4	est	Yes	F	9	formal	No	Same	V
13	29	9.4	est	Yes	F	10	formal	No	Younger	V
13	29	9.4	est	Yes	F	11	informal	Some	Older	T
13	29	9.4	est	Yes	F	12	informal	Some	Same	T
13	29	9.4	est	Yes	F	13	informal	Some	Younger	T
13	29	9.4	est	Yes	F	14	formal	Some	Older	V
13	29	9.4	est	Yes	F	15	formal	Some	Same	T
13	29	9.4	est	Yes	F	16	formal	Some	Younger	T
13	29	9.4	est	Yes	F	17	informal	Good	Older	T
13	29	9.4	est	Yes	F	18	informal	Good	Same	T
13	29	9.4	est	Yes	F	19	informal	Good	Younger	T
13	29	9.4	est	Yes	F	20	formal	Good	Older	T
13	29	9.4	est	Yes	F	21	formal	Good	Same	T
13	29	9.4	est	Yes	F	22	formal	Good	Younger	T
14	27	6	est	Yes	F	5	informal	No	Older	V
14	27	6	est	Yes	F	6	informal	No	Same	V
14	27	6	est	Yes	F	7	informal	No	Younger	V
14	27	6	est	Yes	F	8	formal	No	Older	V
14	27	6	est	Yes	F	9	formal	No	Same	V
14	27	6	est	Yes	F	10	formal	No	Younger	V
14	27	6	est	Yes	F	11	informal	Some	Older	V
14	27	6	est	Yes	F	12	informal	Some	Same	T
14	27	6	est	Yes	F	13	informal	Some	Younger	T
14	27	6	est	Yes	F	14	formal	Some	Older	T
14	27	6	est	Yes	F	15	formal	Some	Same	T
14	27	6	est	Yes	F	16	formal	Some	Younger	T
14	27	6	est	Yes	F	17	informal	Good	Older	T
14	27	6	est	Yes	F	18	informal	Good	Same	T
14	27	6	est	Yes	F	19	informal	Good	Younger	T
14	27	6	est	Yes	F	20	formal	Good	Older	T
14	27	6	est	Yes	F	21	formal	Good	Same	T
14	27	6	est	Yes	F	22	formal	Good	Younger	T
15	29	6.2	est	No	F	5	informal	No	Older	T
15	29	6.2	est	No	F	6	informal	No	Same	V
15	29	6.2	est	No	F	7	informal	No	Younger	V
15	29	6.2	est	No	F	8	formal	No	Older	V
15	29	6.2	est	No	F	9	formal	No	Same	V
15	29	6.2	est	No	F	10	formal	No	Younger	V
15	29	6.2	est	No	F	11	informal	Some	Older	T
15	29	6.2	est	No	F	12	informal	Some	Same	T
15	29	6.2	est	No	F	13	informal	Some	Younger	T
15	29	6.2	est	No	F	14	formal	Some	Older	T
15	29	6.2	est	No	F	15	formal	Some	Same	T
15	29	6.2	est	No	F	16	formal	Some	Younger	T
15	29	6.2	est	No	F	17	informal	Good	Older	T
15	29	6.2	est	No	F	18	informal	Good	Same	T
15	29	6.2	est	No	F	19	informal	Good	Younger	T
15	29	6.2	est	No	F	20	formal	Good	Older	T
15	29	6.2	est	No	F	21	formal	Good	Same	T
15	29	6.2	est	No	F	22	formal	Good	Younger	T
16	24	7.4	est	Yes	F	5	informal	No	Older	V
16	24	7.4	est	Yes	F	6	informal	No	Same	T
16	24	7.4	est	Yes	F	7	informal	No	Younger	T
16	24	7.4	est	Yes	F	8	formal	No	Older	V
16	24	7.4	est	Yes	F	9	formal	No	Same	V
16	24	7.4	est	Yes	F	10	formal	No	Younger	V
16	24	7.4	est	Yes	F	11	informal	Some	Older	V
16	24	7.4	est	Yes	F	12	informal	Some	Same	V
16	24	7.4	est	Yes	F	13	informal	Some	Younger	T
16	24	7.4	est	Yes	F	14	formal	Some	Older	T
16	24	7.4	est	Yes	F	15	formal	Some	Same	T
16	24	7.4	est	Yes	F	16	formal	Some	Younger	T
16	24	7.4	est	Yes	F	17	informal	Good	Older	T
16	24	7.4	est	Yes	F	18	informal	Good	Same	T
16	24	7.4	est	Yes	F	19	informal	Good	Younger	T
16	24	7.4	est	Yes	F	20	formal	Good	Older	T
16	24	7.4	est	Yes	F	21	formal	Good	Same	T
16	24	7.4	est	Yes	F	22	formal	Good	Younger	T
17	29	8.2	est	Yes	F	5	informal	No	Older	V
17	29	8.2	est	Yes	F	6	informal	No	Same	V
17	29	8.2	est	Yes	F	7	informal	No	Younger	V
17	29	8.2	est	Yes	F	8	formal	No	Older	V
17	29	8.2	est	Yes	F	9	formal	No	Same	V
17	29	8.2	est	Yes	F	10	formal	No	Younger	V
17	29	8.2	est	Yes	F	11	informal	Some	Older	T
17	29	8.2	est	Yes	F	12	informal	Some	Same	T
17	29	8.2	est	Yes	F	13	informal	Some	Younger	T
17	29	8.2	est	Yes	F	14	formal	Some	Older	T
17	29	8.2	est	Yes	F	15	formal	Some	Same	T
17	29	8.2	est	Yes	F	16	formal	Some	Younger	T
17	29	8.2	est	Yes	F	17	informal	Good	Older	T
17	29	8.2	est	Yes	F	18	informal	Good	Same	T
17	29	8.2	est	Yes	F	19	informal	Good	Younger	T
17	29	8.2	est	Yes	F	20	formal	Good	Older	T
17	29	8.2	est	Yes	F	21	formal	Good	Same	T
17	29	8.2	est	Yes	F	22	formal	Good	Younger	T
18	31	6.4	est	Yes	M	5	informal	No	Older	V
18	31	6.4	est	Yes	M	6	informal	No	Same	V
18	31	6.4	est	Yes	M	7	informal	No	Younger	V
18	31	6.4	est	Yes	M	8	formal	No	Older	V
18	31	6.4	est	Yes	M	9	formal	No	Same	V
18	31	6.4	est	Yes	M	10	formal	No	Younger	V
18	31	6.4	est	Yes	M	11	informal	Some	Older	T
18	31	6.4	est	Yes	M	12	informal	Some	Same	T
18	31	6.4	est	Yes	M	13	informal	Some	Younger	T
18	31	6.4	est	Yes	M	14	formal	Some	Older	T
18	31	6.4	est	Yes	M	15	formal	Some	Same	T
18	31	6.4	est	Yes	M	16	formal	Some	Younger	T
18	31	6.4	est	Yes	M	17	informal	Good	Older	T
18	31	6.4	est	Yes	M	18	informal	Good	Same	T
18	31	6.4	est	Yes	M	19	informal	Good	Younger	T
18	31	6.4	est	Yes	M	20	formal	Good	Older	T
18	31	6.4	est	Yes	M	21	formal	Good	Same	T
18	31	6.4	est	Yes	M	22	formal	Good	Younger	T
20	45	7	est	Yes	F	5	informal	No	Older	V
20	45	7	est	Yes	F	6	informal	No	Same	V
20	45	7	est	Yes	F	7	informal	No	Younger	T
20	45	7	est	Yes	F	8	formal	No	Older	V
20	45	7	est	Yes	F	9	formal	No	Same	V
20	45	7	est	Yes	F	10	formal	No	Younger	V
20	45	7	est	Yes	F	11	informal	Some	Older	V
20	45	7	est	Yes	F	12	informal	Some	Same	T
20	45	7	est	Yes	F	13	informal	Some	Younger	T
20	45	7	est	Yes	F	14	formal	Some	Older	T
20	45	7	est	Yes	F	15	formal	Some	Same	T
20	45	7	est	Yes	F	16	formal	Some	Younger	T
20	45	7	est	Yes	F	17	informal	Good	Older	T
20	45	7	est	Yes	F	18	informal	Good	Same	T
20	45	7	est	Yes	F	19	informal	Good	Younger	T
20	45	7	est	Yes	F	20	formal	Good	Older	T
20	45	7	est	Yes	F	21	formal	Good	Same	T
20	45	7	est	Yes	F	22	formal	Good	Younger	T
21	38	6.4	est	Yes	M	5	informal	No	Older	NA
21	38	6.4	est	Yes	M	6	informal	No	Same	T
21	38	6.4	est	Yes	M	7	informal	No	Younger	T
21	38	6.4	est	Yes	M	8	formal	No	Older	V
21	38	6.4	est	Yes	M	9	formal	No	Same	V
21	38	6.4	est	Yes	M	10	formal	No	Younger	V
21	38	6.4	est	Yes	M	11	informal	Some	Older	T
21	38	6.4	est	Yes	M	12	informal	Some	Same	T
21	38	6.4	est	Yes	M	13	informal	Some	Younger	T
21	38	6.4	est	Yes	M	14	formal	Some	Older	T
21	38	6.4	est	Yes	M	15	formal	Some	Same	T
21	38	6.4	est	Yes	M	16	formal	Some	Younger	T
21	38	6.4	est	Yes	M	17	informal	Good	Older	T
21	38	6.4	est	Yes	M	18	informal	Good	Same	T
21	38	6.4	est	Yes	M	19	informal	Good	Younger	T
21	38	6.4	est	Yes	M	20	formal	Good	Older	T
21	38	6.4	est	Yes	M	21	formal	Good	Same	T
21	38	6.4	est	Yes	M	22	formal	Good	Younger	T
22	30	8.2	est	Yes	F	5	informal	No	Older	V
22	30	8.2	est	Yes	F	6	informal	No	Same	V
22	30	8.2	est	Yes	F	7	informal	No	Younger	V
22	30	8.2	est	Yes	F	8	formal	No	Older	V
22	30	8.2	est	Yes	F	9	formal	No	Same	V
22	30	8.2	est	Yes	F	10	formal	No	Younger	V
22	30	8.2	est	Yes	F	11	informal	Some	Older	V
22	30	8.2	est	Yes	F	12	informal	Some	Same	T
22	30	8.2	est	Yes	F	13	informal	Some	Younger	T
22	30	8.2	est	Yes	F	14	formal	Some	Older	V
22	30	8.2	est	Yes	F	15	formal	Some	Same	T
22	30	8.2	est	Yes	F	16	formal	Some	Younger	T
22	30	8.2	est	Yes	F	17	informal	Good	Older	T
22	30	8.2	est	Yes	F	18	informal	Good	Same	T
22	30	8.2	est	Yes	F	19	informal	Good	Younger	T
22	30	8.2	est	Yes	F	20	formal	Good	Older	T
22	30	8.2	est	Yes	F	21	formal	Good	Same	T
22	30	8.2	est	Yes	F	22	formal	Good	Younger	T
